	date	country	confirmed	death	recovered
0	1/22/20	Afghanistan	0.0	0.0	0.0
1	1/23/20	Afghanistan	0.0	0.0	0.0
2	1/24/20	Afghanistan	0.0	0.0	0.0
3	1/25/20	Afghanistan	0.0	0.0	0.0
4	1/26/20	Afghanistan	0.0	0.0	0.0
5	1/27/20	Afghanistan	0.0	0.0	0.0
6	1/28/20	Afghanistan	0.0	0.0	0.0
7	1/29/20	Afghanistan	0.0	0.0	0.0
8	1/30/20	Afghanistan	0.0	0.0	0.0
9	1/31/20	Afghanistan	0.0	0.0	0.0
10	2/1/20	Afghanistan	0.0	0.0	0.0
11	2/2/20	Afghanistan	0.0	0.0	0.0
12	2/3/20	Afghanistan	0.0	0.0	0.0
13	2/4/20	Afghanistan	0.0	0.0	0.0
14	2/5/20	Afghanistan	0.0	0.0	0.0
15	2/6/20	Afghanistan	0.0	0.0	0.0
16	2/7/20	Afghanistan	0.0	0.0	0.0
17	2/8/20	Afghanistan	0.0	0.0	0.0
18	2/9/20	Afghanistan	0.0	0.0	0.0
19	2/10/20	Afghanistan	0.0	0.0	0.0
20	2/11/20	Afghanistan	0.0	0.0	0.0
21	2/12/20	Afghanistan	0.0	0.0	0.0
22	2/13/20	Afghanistan	0.0	0.0	0.0
23	2/14/20	Afghanistan	0.0	0.0	0.0
24	2/15/20	Afghanistan	0.0	0.0	0.0
25	2/16/20	Afghanistan	0.0	0.0	0.0
26	2/17/20	Afghanistan	0.0	0.0	0.0
27	2/18/20	Afghanistan	0.0	0.0	0.0
28	2/19/20	Afghanistan	0.0	0.0	0.0
29	2/20/20	Afghanistan	0.0	0.0	0.0
30	2/21/20	Afghanistan	0.0	0.0	0.0
31	2/22/20	Afghanistan	0.0	0.0	0.0
32	2/23/20	Afghanistan	0.0	0.0	0.0
33	2/24/20	Afghanistan	1.0	0.0	0.0
34	2/25/20	Afghanistan	1.0	0.0	0.0
35	2/26/20	Afghanistan	1.0	0.0	0.0
36	2/27/20	Afghanistan	1.0	0.0	0.0
37	2/28/20	Afghanistan	1.0	0.0	0.0
38	2/29/20	Afghanistan	1.0	0.0	0.0
39	3/1/20	Afghanistan	1.0	0.0	0.0
40	3/2/20	Afghanistan	1.0	0.0	0.0
41	3/3/20	Afghanistan	1.0	0.0	0.0
42	3/4/20	Afghanistan	1.0	0.0	0.0
43	3/5/20	Afghanistan	1.0	0.0	0.0
44	3/6/20	Afghanistan	1.0	0.0	0.0
45	3/7/20	Afghanistan	1.0	0.0	0.0
46	3/8/20	Afghanistan	4.0	0.0	0.0
47	3/9/20	Afghanistan	4.0	0.0	0.0
48	3/10/20	Afghanistan	5.0	0.0	0.0
49	3/11/20	Afghanistan	7.0	0.0	0.0
50	3/12/20	Afghanistan	7.0	0.0	0.0
51	3/13/20	Afghanistan	7.0	0.0	0.0
52	3/14/20	Afghanistan	11.0	0.0	0.0
53	3/15/20	Afghanistan	16.0	0.0	0.0
54	3/16/20	Afghanistan	21.0	0.0	1.0
55	3/17/20	Afghanistan	22.0	0.0	1.0
56	3/18/20	Afghanistan	22.0	0.0	1.0
57	3/19/20	Afghanistan	22.0	0.0	1.0
58	3/20/20	Afghanistan	24.0	0.0	1.0
59	3/21/20	Afghanistan	24.0	0.0	1.0
60	3/22/20	Afghanistan	40.0	1.0	1.0
61	3/23/20	Afghanistan	40.0	1.0	1.0
62	3/24/20	Afghanistan	74.0	1.0	1.0
63	3/25/20	Afghanistan	84.0	2.0	2.0
64	3/26/20	Afghanistan	94.0	4.0	2.0
65	3/27/20	Afghanistan	110.0	4.0	2.0
66	3/28/20	Afghanistan	110.0	4.0	2.0
67	3/29/20	Afghanistan	120.0	4.0	2.0
68	3/30/20	Afghanistan	170.0	4.0	2.0
69	3/31/20	Afghanistan	174.0	4.0	5.0
70	1/22/20	Albania	0.0	0.0	0.0
71	1/23/20	Albania	0.0	0.0	0.0
72	1/24/20	Albania	0.0	0.0	0.0
73	1/25/20	Albania	0.0	0.0	0.0
74	1/26/20	Albania	0.0	0.0	0.0
75	1/27/20	Albania	0.0	0.0	0.0
76	1/28/20	Albania	0.0	0.0	0.0
77	1/29/20	Albania	0.0	0.0	0.0
78	1/30/20	Albania	0.0	0.0	0.0
79	1/31/20	Albania	0.0	0.0	0.0
80	2/1/20	Albania	0.0	0.0	0.0
81	2/2/20	Albania	0.0	0.0	0.0
82	2/3/20	Albania	0.0	0.0	0.0
83	2/4/20	Albania	0.0	0.0	0.0
84	2/5/20	Albania	0.0	0.0	0.0
85	2/6/20	Albania	0.0	0.0	0.0
86	2/7/20	Albania	0.0	0.0	0.0
87	2/8/20	Albania	0.0	0.0	0.0
88	2/9/20	Albania	0.0	0.0	0.0
89	2/10/20	Albania	0.0	0.0	0.0
90	2/11/20	Albania	0.0	0.0	0.0
91	2/12/20	Albania	0.0	0.0	0.0
92	2/13/20	Albania	0.0	0.0	0.0
93	2/14/20	Albania	0.0	0.0	0.0
94	2/15/20	Albania	0.0	0.0	0.0
95	2/16/20	Albania	0.0	0.0	0.0
96	2/17/20	Albania	0.0	0.0	0.0
97	2/18/20	Albania	0.0	0.0	0.0
98	2/19/20	Albania	0.0	0.0	0.0
99	2/20/20	Albania	0.0	0.0	0.0
100	2/21/20	Albania	0.0	0.0	0.0
101	2/22/20	Albania	0.0	0.0	0.0
102	2/23/20	Albania	0.0	0.0	0.0
103	2/24/20	Albania	0.0	0.0	0.0
104	2/25/20	Albania	0.0	0.0	0.0
105	2/26/20	Albania	0.0	0.0	0.0
106	2/27/20	Albania	0.0	0.0	0.0
107	2/28/20	Albania	0.0	0.0	0.0
108	2/29/20	Albania	0.0	0.0	0.0
109	3/1/20	Albania	0.0	0.0	0.0
110	3/2/20	Albania	0.0	0.0	0.0
111	3/3/20	Albania	0.0	0.0	0.0
112	3/4/20	Albania	0.0	0.0	0.0
113	3/5/20	Albania	0.0	0.0	0.0
114	3/6/20	Albania	0.0	0.0	0.0
115	3/7/20	Albania	0.0	0.0	0.0
116	3/8/20	Albania	0.0	0.0	0.0
117	3/9/20	Albania	2.0	0.0	0.0
118	3/10/20	Albania	10.0	0.0	0.0
119	3/11/20	Albania	12.0	1.0	0.0
120	3/12/20	Albania	23.0	1.0	0.0
121	3/13/20	Albania	33.0	1.0	0.0
122	3/14/20	Albania	38.0	1.0	0.0
123	3/15/20	Albania	42.0	1.0	0.0
124	3/16/20	Albania	51.0	1.0	0.0
125	3/17/20	Albania	55.0	1.0	0.0
126	3/18/20	Albania	59.0	2.0	0.0
127	3/19/20	Albania	64.0	2.0	0.0
128	3/20/20	Albania	70.0	2.0	0.0
129	3/21/20	Albania	76.0	2.0	2.0
130	3/22/20	Albania	89.0	2.0	2.0
131	3/23/20	Albania	104.0	4.0	2.0
132	3/24/20	Albania	123.0	5.0	10.0
133	3/25/20	Albania	146.0	5.0	17.0
134	3/26/20	Albania	174.0	6.0	17.0
135	3/27/20	Albania	186.0	8.0	31.0
136	3/28/20	Albania	197.0	10.0	31.0
137	3/29/20	Albania	212.0	10.0	33.0
138	3/30/20	Albania	223.0	11.0	44.0
139	3/31/20	Albania	243.0	15.0	52.0
140	1/22/20	Algeria	0.0	0.0	0.0
141	1/23/20	Algeria	0.0	0.0	0.0
