	date	state	confirmed	death	recovered
0	1/22/20	Australian Capital Territory	0.0	0.0	0.0
1	1/23/20	Australian Capital Territory	0.0	0.0	0.0
2	1/24/20	Australian Capital Territory	0.0	0.0	0.0
3	1/25/20	Australian Capital Territory	0.0	0.0	0.0
4	1/26/20	Australian Capital Territory	0.0	0.0	0.0
5	1/27/20	Australian Capital Territory	0.0	0.0	0.0
6	1/28/20	Australian Capital Territory	0.0	0.0	0.0
7	1/29/20	Australian Capital Territory	0.0	0.0	0.0
8	1/30/20	Australian Capital Territory	0.0	0.0	0.0
9	1/31/20	Australian Capital Territory	0.0	0.0	0.0
10	2/1/20	Australian Capital Territory	0.0	0.0	0.0
11	2/2/20	Australian Capital Territory	0.0	0.0	0.0
12	2/3/20	Australian Capital Territory	0.0	0.0	0.0
13	2/4/20	Australian Capital Territory	0.0	0.0	0.0
14	2/5/20	Australian Capital Territory	0.0	0.0	0.0
15	2/6/20	Australian Capital Territory	0.0	0.0	0.0
16	2/7/20	Australian Capital Territory	0.0	0.0	0.0
17	2/8/20	Australian Capital Territory	0.0	0.0	0.0
18	2/9/20	Australian Capital Territory	0.0	0.0	0.0
19	2/10/20	Australian Capital Territory	0.0	0.0	0.0
20	2/11/20	Australian Capital Territory	0.0	0.0	0.0
21	2/12/20	Australian Capital Territory	0.0	0.0	0.0
22	2/13/20	Australian Capital Territory	0.0	0.0	0.0
23	2/14/20	Australian Capital Territory	0.0	0.0	0.0
24	2/15/20	Australian Capital Territory	0.0	0.0	0.0
25	2/16/20	Australian Capital Territory	0.0	0.0	0.0
26	2/17/20	Australian Capital Territory	0.0	0.0	0.0
27	2/18/20	Australian Capital Territory	0.0	0.0	0.0
28	2/19/20	Australian Capital Territory	0.0	0.0	0.0
29	2/20/20	Australian Capital Territory	0.0	0.0	0.0
30	2/21/20	Australian Capital Territory	0.0	0.0	0.0
31	2/22/20	Australian Capital Territory	0.0	0.0	0.0
32	2/23/20	Australian Capital Territory	0.0	0.0	0.0
33	2/24/20	Australian Capital Territory	0.0	0.0	0.0
34	2/25/20	Australian Capital Territory	0.0	0.0	0.0
35	2/26/20	Australian Capital Territory	0.0	0.0	0.0
36	2/27/20	Australian Capital Territory	0.0	0.0	0.0
37	2/28/20	Australian Capital Territory	0.0	0.0	0.0
38	2/29/20	Australian Capital Territory	0.0	0.0	0.0
39	3/1/20	Australian Capital Territory	0.0	0.0	0.0
40	3/2/20	Australian Capital Territory	0.0	0.0	0.0
41	3/3/20	Australian Capital Territory	0.0	0.0	0.0
42	3/4/20	Australian Capital Territory	0.0	0.0	0.0
43	3/5/20	Australian Capital Territory	0.0	0.0	0.0
44	3/6/20	Australian Capital Territory	0.0	0.0	0.0
45	3/7/20	Australian Capital Territory	0.0	0.0	0.0
46	3/8/20	Australian Capital Territory	0.0	0.0	0.0
47	3/9/20	Australian Capital Territory	0.0	0.0	0.0
48	3/10/20	Australian Capital Territory	0.0	0.0	0.0
49	3/11/20	Australian Capital Territory	0.0	0.0	0.0
50	3/12/20	Australian Capital Territory	0.0	0.0	0.0
51	3/13/20	Australian Capital Territory	1.0	0.0	0.0
52	3/14/20	Australian Capital Territory	1.0	0.0	0.0
53	3/15/20	Australian Capital Territory	1.0	0.0	0.0
54	3/16/20	Australian Capital Territory	2.0	0.0	0.0
55	3/17/20	Australian Capital Territory	2.0	0.0	0.0
56	3/18/20	Australian Capital Territory	3.0	0.0	0.0
57	3/19/20	Australian Capital Territory	4.0	0.0	0.0
58	3/20/20	Australian Capital Territory	6.0	0.0	0.0
59	3/21/20	Australian Capital Territory	9.0	0.0	0.0
60	3/22/20	Australian Capital Territory	19.0	0.0	0.0
61	3/23/20	Australian Capital Territory	32.0	0.0	0.0
62	3/24/20	Australian Capital Territory	39.0	0.0	0.0
63	3/25/20	Australian Capital Territory	39.0	0.0	0.0
64	3/26/20	Australian Capital Territory	53.0	0.0	1.0
65	3/27/20	Australian Capital Territory	62.0	0.0	1.0
66	3/28/20	Australian Capital Territory	71.0	0.0	2.0
67	3/29/20	Australian Capital Territory	77.0	0.0	2.0
68	3/30/20	Australian Capital Territory	78.0	1.0	2.0
69	3/31/20	Australian Capital Territory	80.0	1.0	3.0
70	4/1/20	Australian Capital Territory	84.0	1.0	8.0
71	4/2/20	Australian Capital Territory	87.0	1.0	11.0
72	4/3/20	Australian Capital Territory	91.0	1.0	18.0
73	4/4/20	Australian Capital Territory	93.0	2.0	18.0
74	4/5/20	Australian Capital Territory	96.0	2.0	28.0
75	4/6/20	Australian Capital Territory	96.0	2.0	40.0
76	4/7/20	Australian Capital Territory	96.0	2.0	40.0
77	4/8/20	Australian Capital Territory	99.0	2.0	40.0
78	4/9/20	Australian Capital Territory	100.0	2.0	47.0
79	1/22/20	New South Wales	0.0	0.0	0.0
80	1/23/20	New South Wales	0.0	0.0	0.0
81	1/24/20	New South Wales	0.0	0.0	0.0
82	1/25/20	New South Wales	0.0	0.0	0.0
83	1/26/20	New South Wales	3.0	0.0	0.0
84	1/27/20	New South Wales	4.0	0.0	0.0
85	1/28/20	New South Wales	4.0	0.0	0.0
86	1/29/20	New South Wales	4.0	0.0	0.0
87	1/30/20	New South Wales	4.0	0.0	2.0
88	1/31/20	New South Wales	4.0	0.0	2.0
89	2/1/20	New South Wales	4.0	0.0	2.0
90	2/2/20	New South Wales	4.0	0.0	2.0
91	2/3/20	New South Wales	4.0	0.0	2.0
92	2/4/20	New South Wales	4.0	0.0	2.0
93	2/5/20	New South Wales	4.0	0.0	2.0
94	2/6/20	New South Wales	4.0	0.0	2.0
95	2/7/20	New South Wales	4.0	0.0	2.0
96	2/8/20	New South Wales	4.0	0.0	2.0
97	2/9/20	New South Wales	4.0	0.0	2.0
98	2/10/20	New South Wales	4.0	0.0	2.0
99	2/11/20	New South Wales	4.0	0.0	2.0
100	2/12/20	New South Wales	4.0	0.0	2.0
101	2/13/20	New South Wales	4.0	0.0	4.0
102	2/14/20	New South Wales	4.0	0.0	4.0
103	2/15/20	New South Wales	4.0	0.0	4.0
104	2/16/20	New South Wales	4.0	0.0	4.0
105	2/17/20	New South Wales	4.0	0.0	4.0
106	2/18/20	New South Wales	4.0	0.0	4.0
107	2/19/20	New South Wales	4.0	0.0	4.0
108	2/20/20	New South Wales	4.0	0.0	4.0
109	2/21/20	New South Wales	4.0	0.0	4.0
110	2/22/20	New South Wales	4.0	0.0	4.0
111	2/23/20	New South Wales	4.0	0.0	4.0
112	2/24/20	New South Wales	4.0	0.0	4.0
113	2/25/20	New South Wales	4.0	0.0	4.0
114	2/26/20	New South Wales	4.0	0.0	4.0
115	2/27/20	New South Wales	4.0	0.0	4.0
116	2/28/20	New South Wales	4.0	0.0	4.0
117	2/29/20	New South Wales	4.0	0.0	4.0
118	3/1/20	New South Wales	6.0	0.0	4.0
119	3/2/20	New South Wales	6.0	0.0	4.0
120	3/3/20	New South Wales	13.0	0.0	4.0
121	3/4/20	New South Wales	22.0	1.0	4.0
122	3/5/20	New South Wales	22.0	1.0	4.0
123	3/6/20	New South Wales	26.0	1.0	4.0
124	3/7/20	New South Wales	28.0	1.0	4.0
125	3/8/20	New South Wales	38.0	2.0	4.0
126	3/9/20	New South Wales	48.0	2.0	4.0
127	3/10/20	New South Wales	55.0	2.0	4.0
128	3/11/20	New South Wales	65.0	2.0	4.0
129	3/12/20	New South Wales	65.0	2.0	4.0
130	3/13/20	New South Wales	92.0	2.0	4.0
131	3/14/20	New South Wales	112.0	2.0	4.0
132	3/15/20	New South Wales	134.0	2.0	4.0
133	3/16/20	New South Wales	171.0	2.0	4.0
134	3/17/20	New South Wales	210.0	4.0	4.0
135	3/18/20	New South Wales	267.0	5.0	4.0
136	3/19/20	New South Wales	307.0	5.0	4.0
137	3/20/20	New South Wales	353.0	6.0	4.0
138	3/21/20	New South Wales	436.0	6.0	4.0
139	3/22/20	New South Wales	669.0	6.0	4.0
140	3/23/20	New South Wales	669.0	6.0	4.0
141	3/24/20	New South Wales	818.0	7.0	4.0
142	3/25/20	New South Wales	1029.0	7.0	4.0
143	3/26/20	New South Wales	1219.0	7.0	4.0
144	3/27/20	New South Wales	1405.0	7.0	4.0
145	3/28/20	New South Wales	1617.0	8.0	4.0
146	3/29/20	New South Wales	1791.0	8.0	4.0
147	3/30/20	New South Wales	2032.0	8.0	4.0
148	3/31/20	New South Wales	2032.0	8.0	4.0
149	4/1/20	New South Wales	2182.0	9.0	4.0
150	4/2/20	New South Wales	2298.0	10.0	4.0
151	4/3/20	New South Wales	2389.0	12.0	4.0
152	4/4/20	New South Wales	2493.0	12.0	4.0
153	4/5/20	New South Wales	2580.0	16.0	4.0
154	4/6/20	New South Wales	2637.0	18.0	4.0
155	4/7/20	New South Wales	2686.0	21.0	4.0
156	4/8/20	New South Wales	2734.0	21.0	4.0
157	4/9/20	New South Wales	2773.0	21.0	4.0
158	1/22/20	Northern Territory	0.0	0.0	0.0
159	1/23/20	Northern Territory	0.0	0.0	0.0
160	1/24/20	Northern Territory	0.0	0.0	0.0
161	1/25/20	Northern Territory	0.0	0.0	0.0
162	1/26/20	Northern Territory	0.0	0.0	0.0
163	1/27/20	Northern Territory	0.0	0.0	0.0
164	1/28/20	Northern Territory	0.0	0.0	0.0
165	1/29/20	Northern Territory	0.0	0.0	0.0
166	1/30/20	Northern Territory	0.0	0.0	0.0
167	1/31/20	Northern Territory	0.0	0.0	0.0
168	2/1/20	Northern Territory	0.0	0.0	0.0
169	2/2/20	Northern Territory	0.0	0.0	0.0
